OBJECTID,SN_ID,WBenUse
747,05-1181,StockWatering
748,05-1181,Agricultural
749,05-1181,Domestic
750,05-1182,Agricultural
751,05-1182,StockWatering
752,05-1182,Domestic
753,05-1183,StockWatering
754,05-1183,Agricultural
755,05-1183,Domestic
756,05-1184,Agricultural
757,05-1184,Domestic
758,05-1185,Agricultural
759,05-1185,Other
760,05-1186,Other
761,05-1187,Domestic
762,05-1187,StockWatering
763,05-1187,Agricultural
764,05-1188,Agricultural
765,05-1188,Other
766,05-1189,StockWatering
767,05-1189,Agricultural
768,05-1189,Domestic
769,05-119,Domestic
770,05-119,Other
771,05-1190,Domestic
772,05-1190,StockWatering
773,05-1190,Agricultural
774,05-1191,StockWatering
775,05-1191,Domestic
776,05-1191,Agricultural
777,05-1192,Domestic
778,05-1192,Agricultural
779,05-1192,Other
780,05-1193,Agricultural
781,05-1194,Other
782,05-1195,Domestic
783,05-1195,Agricultural
784,05-1196,Domestic
785,05-1196,Agricultural
786,05-1196,StockWatering
787,05-1197,Agricultural
788,05-1198,Domestic
789,05-1199,StockWatering
790,05-1199,Agricultural
791,05-1199,Domestic
792,05-120,Domestic
793,05-120,Agricultural
794,05-1200,Domestic
795,05-1200,Agricultural
796,05-1201,Other
797,05-1201,Agricultural
798,05-1201,Domestic
799,05-1202,StockWatering
800,05-1202,Domestic
801,05-1202,Agricultural
802,05-1203,Domestic
803,05-1203,Agricultural
804,05-1203,StockWatering
805,05-1204,Agricultural
806,05-1204,Domestic
807,05-1205,StockWatering
808,05-1205,Domestic
809,05-1205,Agricultural
810,05-1206,Agricultural
811,05-1206,Domestic
812,05-1207,Other
813,05-1208,StockWatering
814,05-1208,Agricultural
815,05-1208,Domestic
816,05-1209,Other
817,05-121,Domestic
818,05-1211,Domestic
819,05-1211,StockWatering
820,05-1211,Agricultural
821,05-1212,Other
822,05-1213,Other
823,05-1214,Other
824,05-1215,Domestic
825,05-1215,Agricultural
826,05-1215,StockWatering
827,05-1216,Domestic
828,05-1216,Agricultural
829,05-1217,Domestic
830,05-1217,Agricultural
831,05-1217,StockWatering
832,05-1218,Agricultural
833,05-1218,StockWatering
834,05-1218,Other
835,05-1218,Domestic
836,05-122,Agricultural
837,05-122,Domestic
838,05-1220,Agricultural
839,05-1220,StockWatering
840,05-1220,Domestic
841,05-1221,StockWatering
842,05-1221,Agricultural
843,05-1221,Domestic
844,05-1222,Agricultural
845,05-1223,Other
846,05-1224,Agricultural
847,05-1225,Domestic
848,05-1225,Agricultural
849,05-1226,Agricultural
850,05-1226,Domestic
851,05-1226,StockWatering
852,05-1227,Domestic
853,05-1227,StockWatering
854,05-1227,Agricultural
855,05-1228,StockWatering
856,05-1228,Domestic
857,05-1228,Agricultural
858,05-1229,Agricultural
859,05-123,Domestic
860,05-123,Other
861,05-1230,StockWatering
862,05-1230,Agricultural
863,05-1230,Domestic
864,05-1231,Domestic
865,05-1231,Agricultural
866,05-1231,StockWatering
867,05-1232,Domestic
868,05-1232,StockWatering
869,05-1232,Agricultural
870,05-1233,Agricultural
871,05-1233,StockWatering
872,05-1233,Domestic
873,05-1234,Agricultural
